label,area,perimeter,circularity,aspect_ratio,solidity,eccentricity,mean_intensity_gray,std_dev_intensity_gray,peak_intensity_gray,mean_b,mean_g,mean_r,source_file,source_object_id
Yıldız,411.0,97.39696884155273,0.5444535121350629,0.8666666666666667,0.8162859980139027,0.6500468550878454,43.42256637168141,53.03964725584396,240.0,64.34070796460176,48.53982300884956,25.384955752212388,galaksi_elliptical_galaxy_deep_sky_3_features.json,919
Galaksi,17706.5,3400.2593380212784,0.019245026073817426,0.9216710182767625,0.2758838285473894,0.9299583553772858,98.56234642128928,36.61295487355878,212.0,93.28300308464473,78.30783708893188,140.28995660584513,galaksi_elliptical_galaxy_deep_sky_3_features.json,1006
Yıldız,238.5,69.35533821582794,0.6230723219799845,1.0952380952380953,0.853309481216458,0.6236977785003909,55.83271375464684,8.671080018948938,91.0,51.72490706319702,54.94052044609665,58.89591078066914,galaksi_elliptical_galaxy_deep_sky_4_features.json,95
Galaksi,528.5,117.29646408557892,0.4827085760048464,0.8918918918918919,0.8988095238095238,0.9192409668550918,240.43771626297578,7.523924676351397,254.0,242.12629757785467,239.81833910034604,240.82525951557093,galaksi_elliptical_galaxy_deep_sky_4_features.json,104
Yıldız,105.0,44.627416491508484,0.6625149321502821,0.8125,0.8860759493670886,0.873360192735289,57.368,24.42606345688965,166.0,53.064,54.408,64.36,galaksi_elliptical_galaxy_deep_sky_4_features.json,121
Yıldız,9.5,15.071067690849304,0.5255879847138478,1.0,0.76,0.6636309426245621,108.35294117647058,52.55242892071811,216.0,101.35294117647058,109.35294117647058,109.35294117647058,galaksi_elliptical_galaxy_deep_sky_4_features.json,131
Yıldız,14.5,16.242640614509583,0.6906604636818895,1.2,0.8787878787878788,0.6804853554641634,63.17391304347826,11.645682812370927,90.0,51.43478260869565,59.73913043478261,74.43478260869566,galaksi_elliptical_galaxy_deep_sky_4_features.json,160
Yıldız,389.0,122.02438580989838,0.32829646362679676,1.4242424242424243,0.8761261261261262,0.986141191659212,63.43963553530752,27.918452285169458,161.0,57.63553530751708,63.464692482915716,66.44191343963553,galaksi_elliptical_galaxy_deep_sky_4_features.json,183
Yıldız,422.5,130.3259003162384,0.3125900210366093,1.2058823529411764,0.5984419263456091,0.5631945935166452,52.46777546777547,32.29727274003779,231.0,37.68814968814969,48.74012474012474,65.4989604989605,galaksi_elliptical_galaxy_deep_sky_4_features.json,190
Yıldız,12.0,14.485281229019165,0.7186827936802287,0.8333333333333334,0.8888888888888888,0.6541171279127862,31.052631578947366,16.576691575857595,63.0,22.052631578947366,27.473684210526315,41.421052631578945,galaksi_elliptical_galaxy_deep_sky_features.json,1
Yıldız,21.0,30.14213538169861,0.2904565178681791,0.7,0.525,0.7516704430802121,24.485714285714284,15.394565699012897,62.0,14.971428571428572,24.057142857142857,29.285714285714285,galaksi_elliptical_galaxy_deep_sky_features.json,9
Yıldız,226.0,98.42640602588654,0.29315347615074394,1.5,0.616643929058663,0.8785941301848593,71.44814814814815,81.89991123031581,254.0,54.333333333333336,67.78888888888889,85.1888888888889,galaksi_elliptical_galaxy_deep_sky_features.json,10
Galaksi,1526.5,281.9482650756836,0.24130583268641717,1.0547945205479452,0.7464547677261614,0.9671215972747546,230.0663420572124,20.13245501188821,255.0,222.73828362751067,225.49300060864272,241.75471698113208,galaksi_elliptical_galaxy_deep_sky_features.json,541
Galaksi,41401.0,8431.022418022156,0.007319142572630359,0.9223946784922394,0.31348007480937995,0.6579981843781707,73.81621573513706,30.05199227538706,254.0,62.22180936276255,71.35884656461374,83.05028479886082,galaksi_elliptical_galaxy_deep_sky_features.json,995
Bulutsu,504.5,144.26702547073364,0.3046048959919658,0.6590909090909091,0.7065826330532213,0.885705342025965,67.23185840707964,17.312261067578305,147.0,30.31150442477876,51.42300884955752,112.31681415929204,galaksi_emission_nebula_photography_2_features.json,279
Bulutsu,533.5,173.09545242786407,0.22375511466593412,0.7954545454545454,0.6336104513064132,0.8996543953252352,42.01315789473684,8.256167425265586,131.0,47.76315789473684,37.23190789473684,48.995065789473685,galaksi_emission_nebula_photography_2_features.json,781
Bulutsu,478.5,178.75230705738068,0.18818651284461982,0.6578947368421053,0.6492537313432836,0.8228299619941851,68.03423423423423,8.270903035715987,146.0,76.59279279279279,62.38738738738739,75.94054054054054,galaksi_emission_nebula_photography_2_features.json,850
Bulutsu,27186.5,4181.812721252441,0.019535926161080096,0.6077481840193705,0.40040207369878345,0.8205613782263865,73.89604781316935,35.360755028637655,246.0,68.75519933669591,65.36205347889172,92.60657776549436,galaksi_emission_nebula_photography_2_features.json,862
Bulutsu,191111.5,16387.2883528471,0.008942984826080346,1.3228200371057515,0.6202441881975704,0.6831169198376343,55.10981958463566,22.99121405631921,255.0,44.5142014612988,52.79120191069616,63.69973692581914,galaksi_emission_nebula_photography_3_features.json,1407
Yıldız,6.0,9.656854152679443,0.8085181428902574,1.0,1.0,0.7071067492167126,76.36363636363636,26.468755945875404,122.0,133.1818181818182,67.54545454545455,72.36363636363636,galaksi_emission_nebula_photography_4_features.json,360
Yıldız,24.5,18.727921724319458,0.8778024272101497,1.0,0.98,0.46585722125016804,126.60606060606061,53.534434907308146,233.0,140.15151515151516,111.96969696969697,150.06060606060606,galaksi_emission_nebula_photography_4_features.json,459
Bulutsu,229.0,102.0832599401474,0.2761444286428682,0.3076923076923077,0.661849710982659,0.9608923883563874,121.78467153284672,5.639503401429595,137.0,45.083941605839414,113.47445255474452,167.31386861313868,galaksi_emission_nebula_photography_4_features.json,516
Bulutsu,29207.0,3391.531419277191,0.031908407165327314,0.9339622641509434,0.4627474590637947,0.7703072556896923,141.2374857142857,39.37009981850678,247.0,89.98442448979591,132.10994285714284,178.6377469387755,galaksi_emission_nebula_photography_4_features.json,543
Bulutsu,94129.0,11345.544600367546,0.009189303895104618,0.8576271186440678,0.4263040499994339,0.6435754325686104,142.47789820637777,39.2237435022354,250.0,134.25887206034014,134.18383111236932,161.86859240086548,galaksi_emission_nebula_photography_4_features.json,588
Bulutsu,48261.0,4545.584358930588,0.029351259124340563,1.0924369747899159,0.5346975631103996,0.7980798430836001,103.44477891631115,34.53860716509672,245.0,147.78836569514772,88.71942904987839,115.42227183924085,galaksi_emission_nebula_photography_features.json,176
Yıldız,150.5,52.870057106018066,0.6765919167469304,1.3571428571428572,0.9039039039039038,0.6801323199692169,68.94827586206897,46.06420647006745,239.0,57.87356321839081,58.59770114942528,93.49425287356321,galaksi_emission_nebula_photography_features.json,224
Galaksi,1649.0,190.85281217098236,0.56889667116452,0.6825396825396826,0.9337485843714609,0.9294081272393041,78.40796306982111,35.76975297638653,230.0,79.38372763993075,78.3064050778996,78.24812463935372,galaksi_galaxy_UGC_2_features.json,115
Yıldız,11.5,13.071067690849304,0.8458348538463678,1.0,0.9583333333333334,0.2396878586629336,60.05555555555555,62.960721637667106,224.0,51.94444444444444,58.22222222222222,66.83333333333333,galaksi_galaxy_UGC_2_features.json,234
Yıldız,251.5,69.69848430156708,0.6505807154972754,0.8571428571428571,0.9030520646319569,0.45961356569309414,40.420494699646646,48.0794748833182,253.0,35.82332155477032,40.561837455830386,41.869257950530034,galaksi_galaxy_UGC_2_features.json,337
Galaksi,6633.5,1143.4671584367752,0.06375367233491583,2.3398058252427183,0.5634741983435974,0.9709448373608537,148.5007030371204,44.59861294055169,255.0,148.00590551181105,144.31116422947133,156.90410573678292,galaksi_galaxy_UGC_2_features.json,458
Yıldız,249.5,69.69848430156708,0.6454071113978934,1.0,0.8739054290718039,0.5401353488942632,39.81850533807829,44.292691321792034,236.0,24.170818505338076,37.88256227758007,49.63701067615658,galaksi_galaxy_UGC_2_features.json,479
Yıldız,16.0,18.485281229019165,0.5884068531993125,0.8571428571428571,0.8421052631578947,0.8204623800321992,38.72,8.586128347514967,56.0,41.44,38.72,37.96,galaksi_galaxy_UGC_2_features.json,552
Yıldız,38.5,25.55634880065918,0.7407522507940837,0.8888888888888888,0.927710843373494,0.4516221387223122,40.94,49.75154670962502,251.0,32.96,39.36,47.34,galaksi_galaxy_UGC_2_features.json,633
Yıldız,145.5,46.38477599620819,0.8498101816450816,1.0714285714285714,0.9635761589403974,0.49874758007967446,45.91017964071857,50.834217617723326,254.0,43.91616766467066,47.32934131736527,43.64670658682635,galaksi_galaxy_UGC_2_features.json,642
Yıldız,487.5,89.49747383594513,0.7648265049708362,0.9,0.9268060836501901,0.46208137265771504,66.22433460076046,54.86661198989107,242.0,75.51330798479087,69.86121673003802,55.59505703422053,galaksi_galaxy_UGC_3_features.json,25
Galaksi,1746.5,298.91882717609406,0.2456246307132874,0.6814159292035398,0.7933227344992051,0.9907773925844184,37.837881219903686,31.513387118626362,173.0,38.942750133761365,38.69716425896201,35.701979668271804,galaksi_galaxy_UGC_3_features.json,29
Galaksi,14073.5,1508.545365691185,0.07771327858197989,2.041322314049587,0.6365363305366472,0.8749474235609841,116.48304220757154,30.802312228042442,240.0,135.9467817576293,116.36960511112622,109.2928022836947,galaksi_galaxy_UGC_3_features.json,113
Yıldız,1126.5,148.6101711988449,0.640979280241761,1.2,0.9114077669902912,0.8345251227794765,121.78823529411765,44.13697772580453,243.0,83.89747899159664,120.3453781512605,139.0747899159664,galaksi_galaxy_UGC_3_features.json,124
Galaksi,4808.0,604.2396755218506,0.16548393757185387,0.8035714285714286,0.7489679881610717,0.7819853536372187,155.37541987749458,29.107967982762144,247.0,182.556609365738,155.73858921161826,144.32562734637423,galaksi_galaxy_UGC_3_features.json,157
Yıldız,275.0,63.94112479686737,0.84524384000105,0.9523809523809523,0.9700176366843033,0.6768110183987222,49.9042904290429,48.20576853661894,253.0,48.244224422442244,47.851485148514854,54.56435643564357,galaksi_galaxy_UGC_4_features.json,4
Yıldız,888.5,160.6101714372635,0.43283383721057916,0.8372093023255814,0.829985987856142,0.4720880028166232,116.88830897703548,63.72575513475967,255.0,116.08559498956157,114.77453027139873,121.32672233820458,galaksi_galaxy_UGC_4_features.json,10
Yıldız,57.0,49.455843687057495,0.29285287339212046,0.4444444444444444,0.6867469879518072,0.9437822462517685,16.70886075949367,2.838041305014165,25.0,16.734177215189874,15.746835443037975,17.670886075949365,galaksi_galaxy_UGC_4_features.json,18
Yıldız,72.5,33.55634891986847,0.8090930440882006,1.2,0.9477124183006536,0.471055406458354,30.977272727272727,32.68791035644638,182.0,30.977272727272727,30.977272727272727,30.977272727272727,galaksi_galaxy_UGC_4_features.json,33
Galaksi,17801.5,1400.1088564395905,0.11411503219498946,1.2625994694960212,0.640652835009807,0.9968236543382656,121.84725549989109,42.54257323618233,252.0,119.96220866913526,119.9648224787628,126.24526247005011,galaksi_galaxy_UGC_4_features.json,64
